id,category,product_name,description,price,stock_quantity,image_url
1,Honey,Sidr Honey (Premium),Rare medicinal honey from Sidr trees.,45.00,50,https://images.unsplash.com/photo-1587049352846-4a222e784d38
2,Honey,Acacia Honey,"Clear, mild honey that stays liquid.",25.00,100,https://images.unsplash.com/photo-1558614334-97241aa4444e
3,Honey,Wild Forest Honey,"Dark, rich honey from organic forest nectar.",30.00,75,https://images.unsplash.com/photo-1471943311424-646960669fba
4,Honey,Clover Honey,Classic sweet floral honey for daily use.,15.00,200,https://example.com/honey4.jpg
5,Honey,Manuka Style Honey,High-activity honey for immune support.,60.00,30,https://example.com/honey5.jpg
6,Honey,Eucalyptus Honey,"Herbal notes, great for respiratory health.",22.00,80,https://example.com/honey6.jpg
7,Honey,Orange Blossom Honey,"Light citrus aroma, perfect for tea.",18.00,90,https://example.com/honey7.jpg
8,Honey,Buckwheat Honey,"Strong, malty flavor rich in iron.",28.00,40,https://example.com/honey8.jpg
9,Honey,Neem Honey,Bitter-sweet honey with anti-inflammatory properties.,35.00,45,https://example.com/honey9.jpg
10,Honey,Sunflower Honey,"Bright yellow honey, high in glucose.",12.00,120,https://example.com/honey10.jpg
11,Honey,Lavender Honey,Premium honey infused with lavender nectar.,32.00,55,https://example.com/honey11.jpg
12,Honey,Thyme Honey,Intense herbal flavor from the Mediterranean.,38.00,25,https://example.com/honey12.jpg
13,Honey,Black Seed Honey,Honey blended with Kalonji extracts.,40.00,60,https://example.com/honey13.jpg
14,Honey,Comb Honey,Pure honey served inside the natural wax comb.,34.00,20,https://example.com/honey14.jpg
15,Honey,Ginger Infused Honey,Zesty honey for digestion and sore throats.,20.00,100,https://example.com/honey15.jpg
16,Dry Fruit,Mamra Almonds,High-oil content almonds for brain health.,55.00,100,https://images.unsplash.com/photo-1508817628294-40076cf6b1b5
17,Dry Fruit,Walnut Kernels,Premium light-colored halves.,40.00,80,https://images.unsplash.com/photo-1585002181205-09f196924d67
18,Dry Fruit,Roasted Cashews,Salted and roasted for a perfect snack.,30.00,150,https://example.com/dryfruit3.jpg
19,Dry Fruit,Pistachios (Roasted),Shell-on premium Iranian pistachios.,45.00,90,https://example.com/dryfruit4.jpg
20,Dry Fruit,Pine Nuts (Chilgoza),"Wild-harvested, buttery texture.",85.00,40,https://example.com/dryfruit5.jpg
21,Dry Fruit,Dried Figs (Anjeer),"Soft, fiber-rich premium figs.",25.00,110,https://example.com/dryfruit6.jpg
22,Dry Fruit,Green Raisins,"Sweet, sun-dried seedless raisins.",12.00,200,https://example.com/dryfruit7.jpg
23,Dry Fruit,Black Raisins,"Seedless, high in antioxidants.",15.00,180,https://example.com/dryfruit8.jpg
24,Dry Fruit,Apricots (Dried),Sweet and tangy organic apricots.,20.00,100,https://example.com/dryfruit9.jpg
